fechas,valor
24/11/2021,197
23/11/2021,197
19/11/2021,198
18/11/2021,197
17/11/2021,198
16/11/2021,197
15/11/2021,196
12/11/2021,196
11/11/2021,203
10/11/2021,201
09/11/2021,196
08/11/2021,195
05/11/2021,195
04/11/2021,195
03/11/2021,195
02/11/2021,194
01/11/2021,193
29/10/2021,194
28/10/2021,194
27/10/2021,193
26/10/2021,192
25/10/2021,190
22/10/2021,191
21/10/2021,187
20/10/2021,184
19/10/2021,183
18/10/2021,182
15/10/2021,183
14/10/2021,182
13/10/2021,181
12/10/2021,181
07/10/2021,181
06/10/2021,182
05/10/2021,181
04/10/2021,181
01/10/2021,182
30/09/2021,182
29/09/2021,183
28/09/2021,183
27/09/2021,183
24/09/2021,182
23/09/2021,181
22/09/2021,181
21/09/2021,180
20/09/2021,180
17/09/2021,181
16/09/2021,182
15/09/2021,181
14/09/2021,179
13/09/2021,177
10/09/2021,181
09/09/2021,183
08/09/2021,183
07/09/2021,180
06/09/2021,178
03/09/2021,177
02/09/2021,176
01/09/2021,176
31/08/2021,177
31/08/2021,177
31/08/2021,177
31/08/2021,177
31/08/2021,177
31/08/2021,177
31/08/2021,177
30/08/2021,177
27/08/2021,177
26/08/2021,177
25/08/2021,177
24/08/2021,177
23/08/2021,177
20/08/2021,177
19/08/2021,177
18/08/2021,177
17/08/2021,178
13/08/2021,177
12/08/2021,174
11/08/2021,173
10/08/2021,173
09/08/2021,174
06/08/2021,174
05/08/2021,175
05/08/2021,176
05/08/2021,176
04/08/2021,176
03/08/2021,176
03/08/2021,176
02/08/2021,176
02/08/2021,176
02/08/2021,176
02/08/2021,176
30/07/2021,176
29/07/2021,175
28/07/2021,175
27/07/2021,178
26/07/2021,179
26/07/2021,180
23/07/2021,180
23/07/2021,180
22/07/2021,180
21/07/2021,178
20/07/2021,177
19/07/2021,175
16/07/2021,174
15/07/2021,173
14/07/2021,172
13/07/2021,171
12/07/2021,172
08/07/2021,169
07/07/2021,167
06/07/2021,166
05/07/2021,166
02/07/2021,165
01/07/2021,164
30/06/2021,163
29/06/2021,165
28/06/2021,168
25/06/2021,169
24/06/2021,165
23/06/2021,161
22/06/2021,160
18/06/2021,159
17/06/2021,158
16/06/2021,158
15/06/2021,155
14/06/2021,153
11/06/2021,153
10/06/2021,152
09/06/2021,151
08/06/2021,151
07/06/2021,152
04/06/2021,152
03/06/2021,151
02/06/2021,151
01/06/2021,150
31/05/2021,152
28/05/2021,152
27/05/2021,152
26/05/2021,150
24/05/2021,148
21/05/2021,148
20/05/2021,149
19/05/2021,150
18/05/2021,151
17/05/2021,148
14/05/2021,148
13/05/2021,146
12/05/2021,147
11/05/2021,146
10/05/2021,147
07/05/2021,145
06/05/2021,145
05/05/2021,146
04/05/2021,149
03/05/2021,148
30/04/2021,145
29/04/2021,149
28/04/2021,157
27/04/2021,156
26/04/2021,153
23/04/2021,147
22/04/2021,142
21/04/2021,139
20/04/2021,138
19/04/2021,138
16/04/2021,137
15/04/2021,138
14/04/2021,138
13/04/2021,137
12/04/2021,137
09/04/2021,135
08/04/2021,135
07/04/2021,134
06/04/2021,135
05/04/2021,135
31/03/2021,136
30/03/2021,136
29/03/2021,137
26/03/2021,137
25/03/2021,138
23/03/2021,138
22/03/2021,138
22/03/2021,138
22/03/2021,139
19/03/2021,139
18/03/2021,139
17/03/2021,139
16/03/2021,139
15/03/2021,141
12/03/2021,137
11/03/2021,135
10/03/2021,138
09/03/2021,139
08/03/2021,139
05/03/2021,139
04/03/2021,139
03/03/2021,140
02/03/2021,140
01/03/2021,142
01/03/2021,141
01/03/2021,141
26/02/2021,141
25/02/2021,138
24/02/2021,140
23/02/2021,141
22/02/2021,142
19/02/2021,142
18/02/2021,148
17/02/2021,144
12/02/2021,145
11/02/2021,144
10/02/2021,146
09/02/2021,147
08/02/2021,146
08/02/2021,146
08/02/2021,146
08/02/2021,146
05/02/2021,146
04/02/2021,145
03/02/2021,148
02/02/2021,148
01/02/2021,148
29/01/2021,148
28/01/2021,149
27/01/2021,149
26/01/2021,151
25/01/2021,151
22/01/2021,151
22/01/2021,151
21/01/2021,151
20/01/2021,151
19/01/2021,152
15/01/2021,153
14/01/2021,153
13/01/2021,154
12/01/2021,153
11/01/2021,153
08/01/2021,155
07/01/2021,156
06/01/2021,154
05/01/2021,154
04/01/2021,159
30/12/2020,160
29/12/2020,159
28/12/2020,158
23/12/2020,153
22/12/2020,146
22/12/2020,145
21/12/2020,144
18/12/2020,144
17/12/2020,143
16/12/2020,144
15/12/2020,145
14/12/2020,145
11/12/2020,142
10/12/2020,140
09/12/2020,143
04/12/2020,144
03/12/2020,145
02/12/2020,147
01/12/2020,147
30/11/2020,149
27/11/2020,150
26/11/2020,151
25/11/2020,152
24/11/2020,154
20/11/2020,155
19/11/2020,157
18/11/2020,158
17/11/2020,157
16/11/2020,156
13/11/2020,166
12/11/2020,161
11/11/2020,156
10/11/2020,143
09/11/2020,145
06/11/2020,151
05/11/2020,151
04/11/2020,155
03/11/2020,159
02/11/2020,162
30/10/2020,163
29/10/2020,169
28/10/2020,172
27/10/2020,175
26/10/2020,184
23/10/2020,189
22/10/2020,184
21/10/2020,177
20/10/2020,174
19/10/2020,175
16/10/2020,172
15/10/2020,165
14/10/2020,161
13/10/2020,160
09/10/2020,161
08/10/2020,152
07/10/2020,149
06/10/2020,146
