fechas,promedio
2014,12.423236514522822
2015,14.049180327868852
2016,14.813765182186234
2017,16.869918699186993
2018,27.694214876033058
2019,49.51229508196721
2020,117.55020080321285
2021,165.95488721804512
2022,248.73306772908367
2023,381.8354430379747
